id_distribuidor,folio,saldo_vencido_total,pagos_vencidos,creditos_totales,creditos_con_claves_prevencion,creditos_completados_con_atraso,creditos_completados_sin_atraso
104411,1063540573,23695.0,34.0,48,37,5,43
104414,1063540225,188259.0,115.0,35,12,5,30
104415,1063540218,71137.0,115.0,78,47,8,70
104416,1063540215,40434.0,32.0,103,46,3,100
104431,1063540348,3944.0,30.0,13,5,1,12
104436,1063540345,123369.0,199.0,42,16,14,28
104437,1063540207,21428.0,9.0,2,0,1,1
104438,1063540338,26271.0,123.0,11,7,7,4
104440,1063540331,32226.0,107.0,27,22,9,18
104441,1063540203,23924.0,27.0,36,31,2,34
104442,1063540323,13728.0,68.0,34,20,2,32
104443,1063544576,3531.0,17.0,35,25,1,34
104445,1063540199,26681.0,50.0,71,45,4,67
104446,1063544570,55563.0,48.0,62,43,5,57
104448,1063544559,18330.0,178.0,52,28,4,48
104449,1063540191,48469.0,164.0,80,42,6,74
104452,1063551571,76905.0,186.0,27,18,6,21
104453,1063540320,10594.0,49.0,63,19,4,59
104454,1063540318,209.0,17.0,37,15,1,36
104455,1063540317,15661.0,33.0,40,17,3,37
104458,1063540641,16384.0,89.0,87,49,2,85
104461,1063540311,13215.0,47.0,26,19,3,23
104462,1063540455,42723.0,45.0,42,32,3,39
104463,1063540645,32674.0,5.0,72,48,2,70
104464,1063540452,5063.0,38.0,23,15,4,19
104466,1063540437,21500.0,125.0,12,6,7,5
104468,1063540423,41786.0,214.0,33,26,5,28
104469,1063540416,11402.0,96.0,18,13,3,15
104490,1063540402,15996.0,104.0,19,13,5,14
104497,1063540396,4629.0,11.0,117,43,1,116
104512,1063540890,30939.0,128.0,19,9,5,14
104515,1063540881,85037.0,74.0,38,15,3,35
104516,1063540868,79173.0,181.0,108,60,20,88
104518,1063540864,94136.0,214.0,63,24,9,54
104519,1063540657,11883.0,152.0,37,11,4,33
104576,1063541446,4129.0,4.0,22,4,2,20
104580,1063541438,159.0,268.0,52,14,1,51
104581,1063541430,13094.0,34.0,79,9,2,77
104629,1063541292,624.0,6.0,4,2,1,3
104636,1063541006,0.0,0.0,1,0,0,1
104665,1063540570,29924.0,79.0,85,47,7,78
104694,1063540532,0.0,0.0,4,1,0,4
104698,1063540705,22276.0,64.0,51,28,4,47
104699,1063540703,12884.0,50.0,52,35,2,50
104701,1063540698,8675.0,14.0,9,4,2,7
104713,1063542205,7037.0,82.0,16,9,2,14
104723,1063540737,19335.0,21.0,8,3,4,4
104726,1063542196,4446.0,40.0,24,14,2,22
104748,1063542179,14247.0,164.0,34,12,5,29
104761,1063540668,965.0,6.0,14,2,1,13
104803,1063540690,7166.0,12.0,5,1,1,4
104817,1063540670,3595.0,158.0,39,8,3,36
104829,1063541284,0.0,85.0,16,12,0,16
104842,1063540810,33585.0,144.0,60,37,6,54
104851,1063540559,48148.0,156.0,60,34,16,44
104852,1063540808,5200.0,10.0,34,12,1,33
104856,1063540797,5137.0,23.0,31,13,2,29
104882,1063540638,57432.0,83.0,88,28,5,83
104886,1063540635,0.0,0.0,1,0,0,1
104888,1063540632,22583.0,68.0,51,31,4,47
104892,1063540621,0.0,1.0,36,30,0,36
104897,1063540615,53055.0,173.0,53,29,3,50
104902,1063540759,26550.0,37.0,81,18,5,76
104943,1063540472,8890.0,84.0,14,6,2,12
104945,1063542172,17834.0,12.0,23,5,1,22
104948,1063540795,3035.0,10.0,3,2,2,1
104975,1063540682,45874.0,132.0,56,23,5,51
104977,1063540674,11434.0,80.0,64,23,6,58
104981,1063540792,751.0,34.0,32,22,1,31
104991,1063541001,19377.0,146.0,31,14,5,26
104994,1063540787,0.0,3.0,6,2,0,6
104996,1063542023,3757.0,31.0,60,37,2,58
105027,1063540933,80338.0,202.0,67,45,11,56
